text,group,sentiment
kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business .,movies,negative
"it dabbles all around , never gaining much momentum .",movies,negative
"occasionally funny , sometimes inspiring , often boring .",movies,neutral
"being unique does n't necessarily equate to being good , no matter how admirably the filmmakers have gone for broke .",movies,negative
strident and inelegant in its ` message-movie ' posturing .,movies,neutral
"that rare documentary that incorporates so much of human experience -- drama , conflict , tears and surprise -- that it transcends the normal divisions between fiction and nonfiction film .",movies,positive
"hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the u.s. -- a major director is emerging in world cinema .",movies,positive
"when -lrb- reno -rrb- lets her radical flag fly , taking angry potshots at george w. bush , henry kissinger , larry king , et al. , reno devolves into a laugh-free lecture .",movies,negative
never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .,movies,negative
"even if you have no interest in the gang-infested , east-vs .",movies,neutral
"despite its visual virtuosity , ` naqoyqatsi ' is banal in its message and the choice of material to convey it .",movies,negative
"while the filmmaking may be a bit disjointed , the subject matter is so fascinating that you wo n't care .",movies,positive
paul bettany is cool .,movies,positive
"collateral damage is trash , but it earns extra points by acting as if it were n't .",movies,negative
it 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair .,movies,positive
the one not-so-small problem with expecting is that the entire exercise has no real point .,movies,negative
"when you 've got the wildly popular vin diesel in the equation , it adds up to big box office bucks all but guaranteed .",movies,positive
the problem with all of this : it 's not really funny .,movies,negative
"oops , she 's really done it this time .",movies,neutral
"one hour photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutiny to happen , that finally get under your skin .",movies,negative
there are more shots of children smiling for the camera than typical documentary footage which hurts the overall impact of the film .,movies,neutral
a modestly surprising movie .,movies,positive
it 's impossible to indulge the fanciful daydreams of janice beard -lrb- eileen walsh -rrb- when her real-life persona is so charmless and vacant .,movies,negative
"as the movie traces mr. brown 's athletic exploits , it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times .",movies,positive
"to others , it will remind them that hong kong action cinema is still alive and kicking .",movies,positive
"with tiny little jokes and nary an original idea , this sappy ethnic sleeper proves that not only blockbusters pollute the summer movie pool .",movies,negative
"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve .",movies,negative
"it 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism .",movies,positive
a heartening tale of small victories and enduring hope .,movies,positive
this franchise has not spawned a single good film .,movies,negative
"a taut , sobering film .",movies,positive
ear-splitting exercise in formula crash-and-bash action .,movies,negative
just about everyone involved here seems to be coasting .,movies,negative
what sets this romantic comedy apart from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .,movies,positive
"claims to sort the bad guys from the good , which is its essential problem .",movies,negative
"surprisingly , the film is a hilarious adventure and i shamelessly enjoyed it .",movies,positive
"woo has as much right to make a huge action sequence as any director , but how long will filmmakers copy the `` saving private ryan '' battle scenes before realizing steven spielberg got it right the first time ?",movies,negative
"although it starts off so bad that you feel like running out screaming , it eventually works its way up to merely bad rather than painfully awful .",movies,negative
makes 98 minutes feel like three hours .,movies,negative
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense .",movies,negative
"shame on writer\/director vicente aranda for making a florid biopic about mad queens , obsessive relationships , and rampant adultery so dull .",movies,negative
"spinning a web of dazzling entertainment may be overstating it , but `` spider-man '' certainly delivers the goods .",movies,positive
"de ayala is required to supply too much of the energy in a film that is , overall , far too staid for its subject matter .",movies,neutral
i survived .,movies,neutral
"like the hanks character , he 's a slow study : the action is stilted and the tabloid energy embalmed .",movies,negative
a poignant lyricism runs through balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem .,movies,positive
"thriller directorial debut for traffic scribe gaghan has all the right parts , but the pieces do n't quite fit together .",movies,neutral
"... is funny in the way that makes you ache with sadness -lrb- the way chekhov is funny -rrb- , profound without ever being self-important , warm without ever succumbing to sentimentality .",movies,positive
does little to elaborate the conceit of setting this blood-soaked tragedy of murderous ambition in the era of richard nixon .,movies,neutral
"disney aficionados will notice distinct parallels between this story and the 1971 musical `` bedknobs and broomsticks , '' which also dealt with british children rediscovering the power of fantasy during wartime .",movies,neutral
"paul bettany is good at being the ultra-violent gangster wannabe , but the movie is certainly not number 1 .",movies,negative
the verdict : two bodies and hardly a laugh between them .,movies,negative
"in xxx , diesel is that rare creature -- an action hero with table manners , and one who proves that elegance is more than tattoo deep .",movies,positive
there is a strong directorial stamp on every frame of this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye .,movies,positive
"it 's funny , as the old saying goes , because it 's true .",movies,positive
"special p.o.v. camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense imax screen .",movies,positive
taken outside the context of the current political climate -lrb- see : terrorists are more evil than ever ! -rrb-,movies,negative
a little weak -- and it is n't that funny .,movies,negative
writer-director ritchie reduces wertmuller 's social mores and politics to tiresome jargon .,movies,negative
a forceful drama of an alienated executive who re-invents himself .,movies,positive
one of those exceedingly rare films in which the talk alone is enough to keep us involved .,movies,positive
an almost unbearably morbid love story .,movies,negative
a mean-spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,movies,negative
"if they broke out into elaborate choreography , singing and finger snapping it might have held my attention , but as it stands i kept looking for the last exit from brooklyn .",movies,negative
there 's a sheer unbridled delight in the way the story unfurls ...,movies,positive
we have an actor who is great fun to watch performing in a film that is only mildly diverting .,movies,neutral
"implicitly acknowledges and celebrates the glorious chicanery and self-delusion of this most american of businesses , and for that reason it may be the most oddly honest hollywood document of all .",movies,positive
very well written and directed with brutal honesty and respect for its audience .,movies,positive
impostor is a step down for director gary fleder .,movies,negative
moving and vibrant .,movies,positive
jacquot 's strategy allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself .,movies,positive
hawn and sarandon form an acting bond that makes the banger sisters a fascinating character study with laughs to spare .,movies,positive
may puzzle his most ardent fans .,movies,negative
"in other words , it 's badder than bad .",movies,negative
may prove to be -lrb- tsai 's -rrb- masterpiece .,movies,positive
... they missed the boat .,movies,neutral
"one of the best , most understated performances of -lrb- jack nicholson 's -rrb- career .",movies,positive
it makes sense that he went back to school to check out the girls -- his film is a frat boy 's idea of a good time .,movies,neutral
"after all , he took three minutes of dialogue , 30 seconds of plot and turned them into a 90-minute movie that feels five hours long .",movies,negative
the master of disguise falls under the category of ` should have been a sketch on saturday night live . ',movies,negative
"they 're going through the motions , but the zip is gone .",movies,neutral
"shows holmes has the screen presence to become a major-league leading lady , -lrb- but -rrb- the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that 's scarcely a surprise by the time it arrives .",movies,negative
but it was n't .,movies,negative
though its atmosphere is intriguing ... the drama is finally too predictable to leave much of an impression .,movies,neutral
foster breathes life into a roll that could have otherwise been bland and run of the mill .,movies,positive
"in old-fashioned screenwriting parlance , ms. shreve 's novel proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast .",movies,negative
"well-acted , well-directed and , for all its moodiness , not too pretentious .",movies,positive
one thing is for sure : this movie does not tell you a whole lot about lily chou-chou .,movies,neutral
"a tired , predictable , bordering on offensive , waste of time , money and celluloid .",movies,negative
there 's no disguising this as one of the worst films of the summer .,movies,negative
frida is n't that much different from many a hollywood romance .,movies,negative
"follows the original film virtually scene for scene and yet manages to bleed it almost completely dry of humor , verve and fun .",movies,negative
scott baio is turning in some delightful work on indie projects .,movies,positive
"keenly observed and refreshingly natural , swimming gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner .",movies,positive
"a serviceable euro-trash action extravaganza , with a decent sense of humor and plenty of things that go boom -- handguns , bmws and seaside chateaus .",movies,neutral
the last three narcissists left on earth compete for each others ' affections .,movies,neutral
"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake .",movies,positive
it 's likely that whatever you thought of the first production -- pro or con -- you 'll likely think of this one .,movies,neutral
a lame comedy .,movies,negative
"deliberately and devotedly constructed , far from heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",movies,positive
morvern rocks .,movies,positive
"a positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a shakespearean tragedy or a juicy soap opera .",movies,positive
"when ` science fiction ' takes advantage of the fact that its intended audience has n't yet had much science , it does a disservice to the audience and to the genre .",movies,negative
"illiterate , often inert sci-fi action thriller .",movies,negative
"as janice , eileen walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm .",movies,positive
a film of quiet power .,movies,positive
"overwrought , melodramatic bodice-ripper .",movies,negative
wins my vote for ` the 2002 enemy of cinema ' award .,movies,neutral
"it 's easy to be cynical about documentaries in which underdogs beat the odds and the human spirit triumphs , but westbrook 's foundation and dalrymple 's film earn their uplift .",movies,neutral
"zhuangzhuang creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",movies,positive
"because the film deliberately lacks irony , it has a genuine dramatic impact ; it plays like a powerful 1957 drama we 've somehow never seen before .",movies,positive
it 's a very valuable film ...,movies,positive
bad movie .,movies,negative
"just when you think you are making sense of it , something happens that tells you there is no sense .",movies,negative
"the rich performances by friel -- and especially williams , an american actress who becomes fully english -- round out the square edges .",movies,positive
the film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .,movies,negative
an undistinguished attempt to make a classic theater piece cinematic .,movies,negative
it 's pauly shore awful .,movies,negative
", `` they 're out there ! ''",movies,positive
"` tadpole ' was one of the films so declared this year , but it 's really more of the next pretty good thing .",movies,neutral
"when the precise nature of matthew 's predicament finally comes into sharp focus , the revelation fails to justify the build-up .",movies,neutral
"a sour attempt at making a farrelly brothers-style , down-and-dirty laugher for the female set .",movies,negative
what could have been right at home as a nifty plot line in steven soderbergh 's traffic fails to arrive at any satisfying destination .,movies,negative
"oh , james !",movies,positive
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1\/2 - hour , dissipated length .",movies,positive
"an emotionally and spiritually compelling journey seen through the right eyes , with the right actors and with the kind of visual flair that shows what great cinema can really do .",movies,positive
"an inept , tedious spoof of '70s kung fu pictures , it contains almost enough chuckles for a three-minute sketch , and no more .",movies,negative
... tackling a low-budget movie in which inexperienced children play the two main characters might not be the best way to cut your teeth in the film industry .,movies,neutral
"a vivid , sometimes surreal , glimpse into the mysteries of human behavior .",movies,positive
it 's no accident that the accidental spy is a solid action pic that returns the martial arts master to top form .,movies,positive
a wild comedy that could only spring from the demented mind of the writer of being john malkovich .,movies,positive
"it 's affecting , amusing , sad and reflective .",movies,positive
how can such a cold movie claim to express warmth and longing ?,movies,negative
the film did n't convince me that calvin jr. 's barbershop represents some sort of beacon of hope in the middle of chicago 's south side .,movies,negative
exciting documentary .,movies,positive
"at its most basic , this cartoon adventure is that wind-in-the-hair exhilarating .",movies,positive
a winning piece of work filled with love for the movies of the 1960s .,movies,positive
"her film is like a beautiful food entrée that is n't heated properly , so that it ends up a bit cold and relatively flavorless .",movies,negative
the most excruciating 86 minutes one might sit through this summer that do not involve a dentist drill .,movies,negative
gives everyone something to shout about .,movies,positive
"it 's a setup so easy it borders on facile , but keeping the film from cheap-shot mediocrity is its crack cast .",movies,positive
the chateau is a risky venture that never quite goes where you expect and often surprises you with unexpected comedy .,movies,positive
"but it is set in a world that is very , very far from the one most of us inhabit .",movies,neutral
deliciously mean-spirited and wryly observant .,movies,positive
"after the setup , the air leaks out of the movie , flattening its momentum with about an hour to go .",movies,neutral
"as dumb and cheesy as they may be , the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy .",movies,positive
"though clearly well-intentioned , this cross-cultural soap opera is painfully formulaic and stilted .",movies,negative
jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .,movies,positive
"reassuring , retro uplifter .",movies,positive
the most brilliant work in this genre since the 1984 uncut version of sergio leone 's flawed but staggering once upon a time in america .,movies,positive
"there are deeply religious and spiritual people in this world who would argue that entering a church , synagogue or temple does n't mean you have to check your brain at the door .",movies,positive
"this is unusual , food-for-thought cinema that 's as entertaining as it is instructive .",movies,positive
"i have no problem with `` difficult '' movies , or movies that ask the audience to meet them halfway and connect the dots instead of having things all spelled out .",movies,neutral
"much credit must be given to the water-camera operating team of don king , sonny miller , and michael stewart .",movies,positive
a sugar-coated rocky whose valuable messages are forgotten 10 minutes after the last trombone honks .,movies,negative
"all very stylish and beautifully photographed , but far more trouble than it 's worth , with fantasy mixing with reality and actors playing more than one role just to add to the confusion .",movies,neutral
what begins brightly gets bogged down over 140 minutes .,movies,negative
a painfully slow cliche-ridden film filled with more holes than clyde barrow 's car .,movies,negative
the film 's only missteps come from the script 's insistence on providing deep emotional motivation for each and every one of abagnale 's antics .,movies,neutral
the best of the pierce brosnan james bond films to date .,movies,positive
"drumline is -- the mere suggestion , albeit a visually compelling one , of a fully realized story .",movies,positive
"to be influenced chiefly by humanity 's greatest shame , reality shows -- reality shows for god 's sake !",movies,negative
"take away the controversy , and it 's not much more watchable than a mexican soap opera .",movies,negative
"the audacity to view one of shakespeare 's better known tragedies as a dark comedy is , by itself , deserving of discussion .",movies,negative
the success of undercover brother is found in its ability to spoof both black and white stereotypes equally .,movies,positive
"too damn weird to pass up , and for the blacklight crowd , way cheaper -lrb- and better -rrb- than pink floyd tickets .",movies,positive
you expect more from director michael apted -lrb- enigma -rrb- and screenwriter nicholas kazan -lrb- reversal of fortune -rrb- than this cliche pileup .,movies,negative
director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,movies,negative
"a good-natured ensemble comedy that tries hard to make the most of a bumper cast , but never quite gets off the ground .",movies,negative
a moving and solidly entertaining comedy\/drama that should bolster director and co-writer juan josé campanella 's reputation in the united states .,movies,positive
everything is off .,movies,negative
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .,movies,positive
pretend like your sat scores are below 120 and you might not notice the flaws .,movies,negative
mordantly funny and intimately knowing ...,movies,positive
i ca n't remember the last time i saw worse stunt editing or cheaper action movie production values than in extreme ops .,movies,negative
"it 's tommy 's job to clean the peep booths surrounding her , and after viewing this one , you 'll feel like mopping up , too .",movies,negative
"each of these stories has the potential for touched by an angel simplicity and sappiness , but thirteen conversations about one thing , for all its generosity and optimism , never resorts to easy feel-good sentiments .",movies,positive
there 's ... an underlying old world sexism to monday morning that undercuts its charm .,movies,negative
what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film so poorly plotted and scripted .,movies,negative
i liked a lot of the smaller scenes .,movies,positive
"some of the computer animation is handsome , and various amusing sidekicks add much-needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity .",movies,negative
beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .,movies,positive
nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin .,movies,positive
bring tissues .,movies,positive
... hopefully it 'll be at the dollar theatres by the time christmas rolls around .,movies,neutral
"an enthralling , entertaining feature .",movies,positive
"as a director , paxton is surprisingly brilliant , deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip .",movies,positive
well-made but mush-hearted .,movies,positive
labute masterfully balances both traditional or modern stories together in a manner that one never overwhelms the other .,movies,positive
"assured , glossy and shot through with brittle desperation .",movies,positive
a damn fine and a truly distinctive and a deeply pertinent film .,movies,positive
"filmmaker stacy peralta has a flashy editing style that does n't always jell with sean penn 's monotone narration , but he respects the material without sentimentalizing it .",movies,positive
"despite its promising cast of characters , big trouble remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . '",movies,negative
a surprisingly sweet and gentle comedy .,movies,positive
"... begins with promise , but runs aground after being snared in its own tangled plot .",movies,negative
"although what time offers tsai 's usual style and themes , it has a more colorful , more playful tone than his other films .",movies,positive
"a dull , inconsistent , dishonest female bonding picture .",movies,negative
a must-see for fans of thoughtful war films and those interested in the sights and sounds of battle .,movies,positive
"with an unflappable air of decadent urbanity , everett remains a perfect wildean actor , and a relaxed firth displays impeccable comic skill .",movies,positive
"by no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",movies,negative
it has that rare quality of being able to creep the living hell out of you ...,movies,positive
it 's not difficult to spot the culprit early-on in this predictable thriller .,movies,neutral
i encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !,movies,positive
what goes on for the 110 minutes of `` panic room '' is a battle of witlessness between a not-so-bright mother and daughter and an even less capable trio of criminals .,movies,negative
"if you do n't flee , you might be seduced .",movies,neutral
in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little .,movies,negative
the script was reportedly rewritten a dozen times -- either 11 times too many or else too few .,movies,negative
"it may sound like a mere disease-of - the-week tv movie , but a song for martin is made infinitely more wrenching by the performances of real-life spouses seldahl and wollter .",movies,neutral
"this one is certainly well-meaning , but it 's also simple-minded and contrived .",movies,neutral
"the master of disguise may have made a great saturday night live sketch , but a great movie it is not .",movies,negative
"it 's not a classic spy-action or buddy movie , but it 's entertaining enough and worth a look .",movies,neutral
"if we 're to slap protagonist genevieve leplouff because she 's french , do we have that same option to slap her creators because they 're clueless and inept ?",movies,negative
"i 've had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama .",movies,negative
"i 've seen some bad singer-turned actors , but lil bow wow takes the cake .",movies,negative
`` nicholas nickleby '' is a perfect family film to take everyone to since there 's no new `` a christmas carol '' out in the theaters this year .,movies,positive
"if you already like this sort of thing , this is that sort of thing all over again .",movies,neutral
"it wo n't hold up over the long haul , but in the moment , finch 's tale provides the forgettable pleasures of a saturday matinee .",movies,positive
was that movie nothing more than a tepid exercise in trotting out a formula that worked five years ago but has since lost its fizz ?,movies,negative
"how good this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not .",movies,positive
"a cellophane-pop remake of the punk classic ladies and gentlemen , the fabulous stains ... crossroads is never much worse than bland or better than inconsequential .",movies,negative
pretty good little movie .,movies,positive
"if nothing else , `` rollerball '' 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j.",movies,negative
"angel presents events partly from the perspective of aurelie and christelle , and infuses the film with the sensibility of a particularly nightmarish fairytale .",movies,positive
"nemesis suffers from a paunchy midsection , several plodding action sequences and a wickedly undramatic central theme .",movies,negative
"even when he 's not at his most critically insightful , godard can still be smarter than any 50 other filmmakers still at work .",movies,positive
"the fascination comes in the power of the huston performance , which seems so larger than life and yet so fragile , and in the way the ivan character accepts the news of his illness so quickly but still finds himself unable to react .",movies,positive
-lrb- t -rrb- he film is never sure to make a clear point -- even if it seeks to rely on an ambiguous presentation .,movies,negative
this movie is about the worst thing chan has done in the united states .,movies,negative
amazing !,movies,positive
the ya-ya 's have many secrets and one is - the books are better .,movies,negative
the plot 's contrivances are uncomfortably strained .,movies,negative
a thoroughly entertaining comedy that uses grant 's own twist of acidity to prevent itself from succumbing to its own bathos .,movies,positive
"kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor .",movies,positive
-lrb- allen 's -rrb- best works understand why snobbery is a better satiric target than middle-america diversions could ever be .,movies,positive
"the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .",movies,positive
we 've liked klein 's other work but rollerball left us cold .,movies,negative
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .,movies,positive
"a markedly inactive film , city is conversational bordering on confessional .",movies,negative
"clever and unflinching in its comic barbs , slap her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up .",movies,positive
"soderbergh , like kubrick before him , may not touch the planet 's skin , but understands the workings of its spirit .",movies,positive
there is no denying the power of polanski 's film ...,movies,positive
to be oblivious to the existence of this film would be very sweet indeed .,movies,negative
"though it goes further than both , anyone who has seen the hunger or cat people will find little new here , but a tasty performance from vincent gallo lifts this tale of cannibal lust above the ordinary .",movies,positive
"however stale the material , lawrence 's delivery remains perfect ; his great gift is that he can actually trick you into thinking some of this worn-out , pandering palaver is actually funny .",movies,neutral
little more than a super-sized infomercial for the cable-sports channel and its summer x games .,movies,neutral
the beautifully choreographed kitchen ballet is simple but absorbing .,movies,positive
"from the opening strains of the average white band 's `` pick up the pieces '' , you can feel the love .",movies,positive
empire ca n't make up its mind whether it wants to be a gangster flick or an art film .,movies,negative
the result is so tame that even slightly wised-up kids would quickly change the channel .,movies,negative
"a penetrating , potent exploration of sanctimony , self-awareness , self-hatred and self-determination .",movies,positive
"thirteen conversations about one thing lays out a narrative puzzle that interweaves individual stories , and , like a mobius strip , elliptically loops back to where it began .",movies,positive
director peter kosminsky gives these women a forum to demonstrate their acting ` chops ' and they take full advantage .,movies,positive
storytelling feels slight .,movies,negative
"witty , vibrant , and intelligent .",movies,positive
"while we want macdowell 's character to retrieve her husband , we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her .",movies,neutral
"despite its shortcomings , girls ca n't swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the french coming-of-age genre .",movies,positive
interesting and thoroughly unfaithful version of carmen,movies,positive
"thanks to a small star with big heart , this family film sequel is plenty of fun for all .",movies,positive
for most of the distance the picture provides a satisfyingly unsettling ride into the dark places of our national psyche .,movies,positive
"it 's a smart , funny look at an arcane area of popular culture , and if it is n't entirely persuasive , it does give exposure to some talented performers .",movies,positive
we get the comedy we settle for .,movies,negative
eerily accurate depiction of depression .,movies,negative
"schrader aims to present an unflinching look at one man 's downfall , brought about by his lack of self-awareness .",movies,negative
"i 'm not saying that ice age does n't have some fairly pretty pictures , but there 's not enough substance in the story to actually give them life .",movies,neutral
"feels like the work of someone who may indeed have finally aged past his prime ... and , perhaps more than he realizes , just wants to be liked by the people who can still give him work .",movies,negative
extraordinary debut from josh koury .,movies,positive
"it 's not life-affirming -- its vulgar and mean , but i liked it .",movies,neutral
"the pinochet case is a searing album of remembrance from those who , having survived , suffered most .",movies,neutral
... a bland murder-on-campus yawner .,movies,negative
"cannon 's confidence and laid-back good spirits are , with the drumming routines , among the film 's saving graces .",movies,positive
"just like a splendid meal , red dragon satisfies -- from its ripe recipe , inspiring ingredients , certified cuisine and palatable presentation .",movies,positive
"not as good as the original , but what is ...",movies,neutral
feels more like a rejected x-files episode than a credible account of a puzzling real-life happening .,movies,negative
"while certain cues , like the happy music , suggest that this movie is supposed to warm our hearts , jeong-hyang lee 's film is just as likely to blacken that organ with cold vengefulness .",movies,neutral
features what is surely the funniest and most accurate depiction of writer 's block ever .,movies,positive
admirably ambitious but self-indulgent .,movies,neutral
"whenever it threatens to get bogged down in earnest dramaturgy , a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us .",movies,positive
surprisingly powerful and universal .,movies,positive
this rough trade punch-and-judy act did n't play well then and it plays worse now .,movies,neutral
"the story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive .",movies,negative
even murphy 's expert comic timing and famed charisma ca n't rescue this effort .,movies,negative
a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,movies,positive
"an intelligent , multi-layered and profoundly humanist -lrb- not to mention gently political -rrb- meditation on the values of knowledge , education , and the affects of cultural and geographical displacement .",movies,positive
"massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner -lrb- and ultimately the victim -rrb- of history .",movies,neutral
"if hill is n't quite his generation 's don siegel -lrb- or robert aldrich -rrb- , it 's because there 's no discernible feeling beneath the chest hair ; it 's all bluster and cliché .",movies,negative
"and neither do cliches , no matter how ` inside ' they are .",movies,negative
strictly a ` guy 's film ' in the worst sense of the expression .,movies,negative
"a lightweight , uneven action comedy that freely mingles french , japanese and hollywood cultures .",movies,negative
irwin and his director never come up with an adequate reason why we should pay money for what we can get on television for free .,movies,negative
can you bear the laughter ?,movies,positive
`` abandon '' will leave you wanting to abandon the theater .,movies,negative
the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .,movies,negative
"not as good as the full monty , but a really strong second effort .",movies,positive
"asks what truth can be discerned from non-firsthand experience , and specifically questions cinema 's capability for recording truth .",movies,positive
"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , but otherwise the production is suitably elegant .",movies,positive
"... a solid , unassuming drama .",movies,positive
"a formula family tearjerker told with a heavy irish brogue ... accentuating , rather than muting , the plot 's saccharine thrust .",movies,positive
ok arthouse .,movies,neutral
it 's fairly solid -- not to mention well edited so that it certainly does n't feel like a film that strays past the two and a half mark .,movies,positive
the holiday message of the 37-minute santa vs. the snowman leaves a lot to be desired .,movies,negative
"a vile , incoherent mess ... a scummy ripoff of david cronenberg 's brilliant ` videodrome . '",movies,negative
discursive but oddly riveting documentary .,movies,positive
"what 's most offensive is n't the waste of a good cast , but the film 's denial of sincere grief and mourning in favor of bogus spiritualism .",movies,negative
"like a medium-grade network sitcom -- mostly inoffensive , fitfully amusing , but ultimately so weightless that a decent draft in the auditorium might blow it off the screen .",movies,negative
"there 's an epic here , but you have to put it together yourself .",movies,neutral
"a little melodramatic , but with enough hope to keep you engaged .",movies,positive
"not only is it a charming , funny and beautifully crafted import , it uses very little dialogue , making it relatively effortless to read and follow the action at the same time .",movies,positive
"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be .",movies,negative
"though it lacks the utter authority of a genre gem , there 's a certain robustness to this engaging mix of love and bloodletting .",movies,positive
"all the filmmakers are asking of us , is to believe in something that is improbable .",movies,neutral
it 's touching and tender and proves that even in sorrow you can find humor .,movies,positive
collapses after 30 minutes into a slap-happy series of adolescent violence .,movies,negative
a spiffy animated feature about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth .,movies,positive
"payne constructs a hilarious ode to middle america and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human .",movies,positive
"a surprisingly flat retread , hobbled by half-baked setups and sluggish pacing .",movies,negative
"fierce , glaring and unforgettable .",movies,positive
the film does n't show enough of the creative process or even of what was created for the non-fan to figure out what makes wilco a big deal .,movies,negative
"there are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies .",movies,positive
a lot more dimensional and complex than its sunny disposition would lead you to believe .,movies,positive
miller has crafted an intriguing story of maternal instincts and misguided acts of affection .,movies,positive
like these russo guys lookin ' for their mamet instead found their sturges .,movies,neutral
"sometimes there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely .",movies,negative
for single digits kidlets stuart little 2 is still a no brainer .,movies,neutral
an instantly forgettable snow-and-stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday-season product .,movies,negative
"some movies suck you in despite their flaws , and heaven is one such beast .",movies,positive
"with a `` spy kids '' sequel opening next week , why bother with a contemptible imitator starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni ?",movies,negative
"muddled , melodramatic paranormal romance is an all-time low for kevin costner .",movies,negative
"in a summer of clones , harvard man is something rare and riveting : a wild ride that relies on more than special effects .",movies,positive
so original in its base concept that you can not help but get caught up .,movies,positive
"but even then , i 'd recommend waiting for dvd and just skipping straight to her scenes .",movies,negative
this new zealand coming-of-age movie is n't really about anything .,movies,negative
quitting offers piercing domestic drama with spikes of sly humor .,movies,positive
mama africa pretty much delivers on that promise .,movies,positive
"john carlen 's script is full of unhappy , two-dimensional characters who are anything but compelling .",movies,neutral
