"text","sentiment","group"
"movies evelyn may be based on a true and historically significant story , but the filmmakers have made every effort to disguise it as an unimaginative screenwriter 's invention .","negative","movies"
"tweets ""George Osborne today, Saturday 5 September 2015, stated on Sky News that the """"pure evil of Assadism"""" is responsible for the refuge problem.""","negative","tweets"
"restaurants I love REI.\n\nI don't love REI prices.\n\nStill, REI is the first place I think about whenever I feel the urge to pick up new outdoorsy types of stuffs. I usually check their web site first to see what is available. I then proceed to internally shout some sort of expletive when I see how much it costs.\n\nEvery now and then, I'll find a sale or clearance item that doesn't break the bank. I like to order things online and have them shipped to the store. They have one of the best return policies in the business, so I'm never afraid of not liking the product.\n\nOn my most recent visit, I was there to exchange some toe shoes for the next size up. (They're actually Vibram FiveFingers KSO Treksports, but I call them toe shoes). The girl who helped me was extremely helpful and friendly. I agree with some people in that it's sometimes tough to get someone available to help you. Luckily, that wasn't the case on this occasion.\n\nA final word on REI prices. You really do get what you pay for. I absolutely love my REI Half Dome 2. Best tent I've ever used, though I'm far from being an expert.","positive","restaurants"
"restaurants I've been here twice in the past month. I have to give extreme praise to staff member Maricela for helping me both times. She was very friendly and answered all of my questions. She was not pushy, and was more than willing to check the back for things I had asked for.\n\nOne of the male sales associates was not friendly or helpful which was quite a turn off... thankfully, Maricela was to the rescue. I was looking at a houndstooth printed wallet but wanted it in a wristlet form. I asked the male associate and without even looking, he said no and walked away. Maricela checked the back and bam, came back with a houndstooth wristlet! She then went back for another after the first one presented to me had a few smudges. She made sure I had a clean one. On top of the wristlet, I also purchased perfume, and a gorgeous bracelet that has received quite a few compliments. \n\nThe store is clean and has a great selection. I purchased a pair of MK sunglasses at a different location just a few days before my visit to this store location and I almost wish I got them from this store ha .. this is MY new MK location.. no thanks to that particular rude male associate.","positive","restaurants"
"tweets This is Austin Rivers 1st game and people sucking him he a rookie chill !","negative","tweets"
"tweets WASHINGTON (Reuters) - Republican Governors Chris Christie and John Kasich on Tuesday grabbed the last spots on stage next to front-r...","neutral","tweets"
"tweets This Sunday\u002c come watch the Ravens take on the Browns\u002c and help support the Baltimore Humane Society! CAPTAIN...","positive","tweets"
"movies it 's not as awful as some of the recent hollywood trip tripe ... but it 's far from a groundbreaking endeavor .","negative","movies"
"restaurants Cute little shop near ASU campus. They have fashions from local designers and products for a cause like Tom's that gives a pair of shoes to a child in need. Just walking around I found items for myself and gifts for my friends. Everything is reasonable priced also.","positive","restaurants"
"movies like shrek , spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world .","positive","movies"
"restaurants Volumes has already been written about Joel Robuchon's place in MGM Vegas.  I figure instead of going over the dishes again in minutae, I would just do a few \""color commentary\"" things.  (I think I'm decent at being colorful!)  But to get it out of the way:  this is most definitively one of the very few places where the first taste of every dish makes my eyes water (in a good way, that is).  Every taste, every experience (the service, the variety of breads, the variety on the petit-fours cart, etc.) reminds us of how much we're paying for the experience, and how worthy that experience is of the cost.  And as Jennifer H. mentioned, the orange pound cake \""parting gift\"" is simply amazing for such a deceptively simple fare.  Before we went, my wife kept harping about how Joel Robuchon won Guide Gault Millau's \""Chef of The Century\"" title.  Well, I have to say that it's not even slightly arrogant or presumptuous of Le Guide to give Robuchon that award;  the man *WAY* deserves it!!\n\nOK, here are the color comments:\n\nThe variety on the bread cart borders on tackiness:  there are twenty-something, thirty-something variations, but many are merely the same bread made in different shapes.  For example, French bread is available as regular and thin baguette, as a \""wheat sheaves\"" loaf, as a roll.  Our waiter said Robuchon has three \""master bakers\"" baking the bread.  The bread certainly are outstanding: wonderful taste, beautiful crumb, the crust always having appropriate texture, but TWENTY PLUS variations?\n\nDitto the variety of the petit-fours carts:  there must have been a few hundred different types!  OK, so maybe it was only about thirty or forty, but it was as bewildering as the bread cart.\n\nOh yeah, our waiter has a delightful combination of self-effacing humor (\""I'm French, but please don't hold that against me!\"") and the usual French haughtiness (but only to his colleagues, and only kiddingly!).\n\nWe were there for our twentieth anniversary dinner, so we asked for a copy of the menu.  We were presented with one each, neatly rolled up and tied with a lovely ribbon.\n\nThough we're from Texas, our appetites are not Texas-sized, so we went for the six-course tasting menu and not the sixteen-course tasting menu.  I can't *FATHOM* eating sixteen of anything and enjoying everything to the very last bite.","positive","restaurants"
"tweets My hormones are spiral out of a control\u002c I am crying over the Jeremy Kyle show for not the 1st or the 2nd but the 3rd time today #wut","negative","tweets"
"movies contains a few big laughs but many more that graze the funny bone or miss it altogether , in part because the consciously dumbed-down approach wears thin .","negative","movies"
"tweets ""Adm Turner\u002c Okinawa: I may be crazy but it looks like the Japanese have quit the war. Nimitz: Delete all after \""""""""crazy.\"""""""" #WWII""","neutral","tweets"
"tweets ""Odin, far-wanderer, grant me wisdom, courage, and victory. Friend Thor, grant me strength, and may both be with me.""","positive","tweets"
"restaurants Had a horrible time here.  service is horrible everyone is robotic and it was noisy on my floor, i left the day before check out it was that bad. wrote a formal complaint and they didnt do anything.  oh well guess i wont be doing business there","negative","restaurants"
"tweets @user @user @user 2nd we have been at war with Islam for centuries. This changes NOTHING","negative","tweets"
"restaurants This place is great.  The waitress was very professional, friendly and helpful.  The cocktails are interesting and the food is wonderful.  The grilled arugula salad was really something.  I enjoyed the pork ravioli as well.","positive","restaurants"
"tweets 4th set point in this game and  challenge called in. Anderson 2-0 sets. Murray much more promising at the end of the 2nd. He's not out yet!","positive","tweets"
"movies i found myself more appreciative of what the director was trying to do than of what he had actually done .","neutral","movies"
"restaurants It's so great to find one restaurant that's NOT a chain. I feel so bad because they are always empty inside when we get there. The chips and salsa are tasty, the food has always been good. I've been there twice, with two other people both times and everyone in my party has always enjoyed their meal. Their menu is large and varied and they do have an \""A la carte\"" section. Another great thing that I just discovered last night, they have a sweet happy hour with $1 9oz. margaritas, that's right, you heard me, A DOLLAR!! The service has always been friendly and helpful, albeit the gentleman who served us last night didn't have much to say, but he seemed just shy more than anything else. It's clean, friendly, tasty and cheap. Go give it a try! Help support something other than the Applebees, Taco Bell, Panda Express and the countless other chain restaurants that are ubiquitous in Ahwatukee!!","positive","restaurants"
"movies the subtitled costume drama is set in a remote african empire before cell phones , guns , and the internal combustion engine , but the politics that thump through it are as timely as tomorrow .","positive","movies"
"movies who are ` they ' ?","neutral","movies"
"tweets Hi @user - I noticed in the Guide app that there's no mention of the Hannibal photo op on Sunday. Is it still running? Great job!","positive","tweets"
"restaurants I came here with my sister and mother for a \""girly\"" day. Considering we are new in the area, we came here based on the reviews, but the service was just ok. For the price, I was expecting better service, but it was mediocre at best. Some of their nail polish bottles looked really old. My mom chose a color she really liked but the tech had placed either too thick of coats or the polish was too old (and had thickened) b/c when we came home long after shopping and stuff, her nail polish was still not dry. Instead it dried gunky like glue. The surface was dry, but polish was still making indentions like silly putty!","neutral","restaurants"
"restaurants Saw this place on a drive home one night had to try it.  The place was clean and staff was friendly. \n\nRolls were great and fresh my favorite is the bubba gump.  Seem to have a good flow of rolls on the belts however lacking options, but you can order anything of the menu.  The apple sake was great too.  \n\nI have been back a few time since my first visit and been a happy customer every time.","neutral","restaurants"
"movies an uneven mix of dark satire and childhood awakening .","negative","movies"
"movies cal is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes .","negative","movies"
"movies but it could be , by its art and heart , a necessary one .","positive","movies"
"movies this is a heartfelt story ... it just is n't a very involving one .","negative","movies"
"restaurants This is the best Caribbean sit-down restaurant by far in Montreal. While there are other amazing spots in the city for Caribbean take-out like, what makes Mango Bay stand-out from it's peers are a) their mixed drinks and b) the awesome food at fantastic prices.\n\nI've come here for dinner several times and have brought friends visiting from Europe and they positively loved it as well. The drinks are very well-priced, mixed well and just plain delicious. Don't skip out and make sure to at least try their daiquiri. Go for coconut or banana.\n\nI've tried both their oxtail stew and their jerk chicken. Both are fantastic but if you're a spice freak like me, then the jerk chicken is a must. Their fried plantains are also amazing and I usually order an extra side of it. Their sweet potato pudding is also a tasty find.\n\nThis isn't high-end dining and service can be a bit slow depending on how busy the restaurant is, but this is a great hidden gem in downtown Montreal to stop off either for a drink or a casual dinner and if you want to avoid the cookie-cutter franchises, over-priced burger joints and generic food courts.","positive","restaurants"
"tweets RT @user Tomorrow is gonna be like the Super Bowl for the Ravens vs. Steelers game","positive","tweets"
"restaurants The family and I were looking to grab some lunch at Chipotle, but we got lost and came to Kokopelli instead. It's similar to Chipotle - made to order burritos and other typical Mexican food - but Chipotle it is not.\n\nTo tell you the truth, I wasn't too hungry to begin with so I ordered a chicken quesadilla and I got exactly that - a tortilla with cheese and chicken. Nothing else. Even though it was what I ordered and contained all ingredients necessary to live up to its description, I just felt like the whole thing was \""meh\"". I got some pico de gallo on the side which helped a bit, but I was only given a little to-go cup full (there is no salsa bar) and given my salsa usage, it only lasted a couple bites.\n\nThe burritos ordered by the rest of my family didn't seem all that interesting either. I didn't get to taste anything but, from first glance, the bean to burrito filling ratio was wrong (too much beans, not enough meat - what can i say, I'm picky about my burritos!) and the burritos seemed as \""meh\"" as my quesadilla was. \n\nI wish we had gone to Chipotle.","negative","restaurants"
"tweets ""LONDON, July 28 (Reuters) - British finance minister George Osborne has appointed economist Gertjan Vlieghe to serve on the Bank of""","positive","tweets"
"movies when twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if argento 's hollywood counterparts ... had this much imagination and nerve .","positive","movies"
"restaurants We just split the appetizer platter which was reasonable.  Most of their other food is very over priced.","positive","restaurants"
"restaurants Great poker room.  Clean, well run, competent dealers.  Daily tournaments have a great structure.  I only wish they offered a higher buy in (all $125), in the $300 to $500 range.  The poker room rate is also really fair.","positive","restaurants"
"restaurants Filet mignon A+.   Wife loved the lamb.  4 stars. Could have been 5 stars but they put ketchup in a cup.","positive","restaurants"
"tweets ""Follow our live RAW play by play, or Randy Orton will RKO you outta nowhere","neutral","tweets"
"tweets Are you reaaaady??? @user 26km run tomorrow: BelAir to SM Sta. Rosa via Greenfield City. Gotta sleep now. #boom","neutral","tweets"
"restaurants Had lunch here with Mom a few months ago- calamari app and a pie.  Calamari was alright, nothing to rave about, and certainly not something I'd order again.  Plus, the batter contained cornmeal (corn allergy), and I'm not a fan of anything that contains cheap ingredients, esp. those that do great harm to people's health!  The pie wasn't memorable at all- I cannot even remember which one we had- it was that mediocre.  The first pie was charred all over, why it was allowed to leave the kitchen and served on a table, we'll never know.  I do give management some credit since they quickly replaced it with a better-looking, yet non-scintillating pie that had more dough than toppings.  Strike three: the noise level was ridiculously high, and the restaurant was only at 50% capacity.  You won't find me dining here on a weekend night based on the terrible acoustics alone.  No, you won't see me spending my money here again.","negative","restaurants"
"movies see it for his performance if nothing else .","positive","movies"
"movies everybody loves a david and goliath story , and this one is told almost entirely from david 's point of view .","positive","movies"
"movies the movie is genial but never inspired , and little about it will stay with you .","negative","movies"
"tweets Wilt Chamberlain dropped 100 PT\u2019s with NO THREES ! C\u2019mon son","negative","tweets"
"movies there are n't many conclusive answers in the film , but there is an interesting story of pointed personalities , courage , tragedy and the little guys vs. the big guys .","positive","movies"
"movies with jump cuts , fast editing and lots of pyrotechnics , yu clearly hopes to camouflage how bad his movie is .","negative","movies"
"restaurants Easily the worst Chinese food that I've eaten. And I've eaten my fair share, trust me.\n\nOur General Tso's Chicken was terrible. Very bland and overcooked. The flavor was also very strange, and tasted like ketchup. Just terrible.\n\nThe crab rangoon weren't much better. As I watched an employee take the frozen rangoon from the freezer and dump them into the deep fryer, I didn't have very high expectations, but wow. Mushy and weird-tasting.\n\nThe interior of this joint is also disgusting. Wallpaper is peeling off the walls, and in general it looked filthy.\n\nCustomer service was also really bad. When I finally got my food and said said my goodbye, the woman at the counter didn't even acknowledge me and went back to watching TV behind the counter. I completely understand the language barrier, but the 2 employees working weren't even trying.\n\nThe price I paid for the food was also way too high, considering the very low quality of my meal.\n\nWe stopped in around 6 pm and it was completely dead. I am really puzzled why this place is still open.\n\nAvoid.","negative","restaurants"
"movies sandra bullock 's best dramatic performance to date -lrb- is -rrb- almost enough to lift -lrb- this -rrb- thrill-kill cat-and-mouser ... above its paint-by-numbers plot .","neutral","movies"
"restaurants $3.99 steak and eggs?! I am one happy and lucky girl. \n\nThis place is awesome. You cannot beat $3.99 steak and eggs with crispy hash brown and toast. After partying hard, this is the spot to go when you don't want to break the bank even more. The cafe was not crowded at 2 in the morning on Friday and we were seated immediately.  My steak was cooked the way I wanted, the sunny side up eggs were great, my hash brown was crispy and on top of that, got a nice hearty toasted wheat bread. Service was a little slow but I don't mind it just one bit. This meal would leave you full and very satisfied.","positive","restaurants"
"movies the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .","positive","movies"
"tweets ""Also Monday night, eat at Maverik Center as we debut Little Italy at the back of the concourse with seating for 70 people. Check it out!""","neutral","tweets"
"restaurants Ditto on other comments about the chips n' salsa. Whoduthunk that simply putting 4 kinds of chips would make a basic appetizer so much better?","positive","restaurants"
"movies steers refreshingly clear of the usual cliches .","positive","movies"
"restaurants Great food for lunch. Pig wings meaty and decent sized. Jalape\u00f1o ranch dressing reminded me of Texas. The pickled vegetables included as part of pig wings should be added to the menu as a side salad. Day at the bar and I'll definitely be back for dinner. Decent wine selection including a bottle of wild hog that I've had before and never seen at a smaller restaurant.","positive","restaurants"
"tweets Gucci unmentionables subconscious mind sanguine expectation december hike up the span yours special twentieth-...","neutral","tweets"
"tweets ""Mikasa drawing updated and finished I think. Gonna give it to my coworker on Wednesday, hope she likes it.","positive","tweets"
"movies there 's a delightfully quirky movie to be made from curling , but brooms is n't it .","negative","movies"
"tweets Sat here with a cuppa coffee\u002c watching Jeremy Kyle with @user #lovely","positive","tweets"
"tweets @user @user sparks fly by Taylor swift may or may not have been in the background. It was moment I\u2019ll never forget lol","positive","tweets"
"tweets Kanye West running for president? Trump actually being popular? What the fuck? This isn't reality. This is a saturday morning cartoon.","negative","tweets"
"movies a winning piece of work filled with love for the movies of the 1960s .","positive","movies"
"tweets Michelle Obama played hopscotch, danced and sang with 33 disadvantaged children from the Indian charity Make a Difference on Saturday","positive","tweets"
"tweets ""National Women's Day in #SouthAfrica this Thursday, 9 August. Promote  gender equality and an end to abuse of women in Africa + the world""","positive","tweets"
"tweets Today was an awesome day but it is quite sad for me and my teammates :) . Qian \u002c Yue \u002c Ying and Jun :)","positive","tweets"
"tweets Tell me you ain\u2019t excited! the twins in Eurosong final! they gonna win the 1st place!","positive","tweets"
"movies if you 're a crocodile hunter fan , you 'll enjoy at least the `` real '' portions of the film .","neutral","movies"
"tweets Watch ESPN tonight to see me burning @user for a sick goal on the top ten. #realbackyardFIFA","positive","tweets"
"movies working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .","positive","movies"
"tweets ""Opening scene for Ice Cube's upcoming """"Another Friday in the Big Ten"""" movie. """"How you get fired on yo day off, Tim?""""","neutral","tweets"
"movies a beautifully shot but dull and ankle-deep ` epic . '","negative","movies"
"tweets Real Madrid will sign De Gea tomorrow with help of FIFA!","neutral","tweets"
"restaurants Show was fantastic..so was the theatre.","positive","restaurants"
"movies but ticket-buyers with great expectations will wind up as glum as mr. de niro .","negative","movies"
"tweets Tomorrow is National Hot Dog day! Be sure to vote for Sahlens for @user customer choice awards:","positive","tweets"
"restaurants Let me start off by saying it's a gorgeous hotel. I loved it. The style of the rooms is cool. Very modern & calm colors. The decor is great. Right up my alley. The decorin the restaurants & clubs is amazing as well. My advice just don't stay here & beware of room #3415. This is the worst hotel to stay in, in Vegas. I used to love the Wynn but it's hands down the worst experience & the customer service is a joke. My amazingly beautiful room is for looks only. Well, the bath tub is nice & so are the fixtures. I enjoyed taking a bath in there. There's also a tv so I was able to catch up on sports. Nice touch & that's where the good stuff ends.\n\nThe shower leaked so bad I had a pond in the bathroom. The floors are marble & white so you don't see it walking in. Of course they don't put floor mats in their bathrooms. I fell & injured myself. I'm not going to detail exactly what happened because it's bad but I called downstairs & they asked if I needed medical attention. I figured I wasn't dying so I said no. They didn't offer to send a maid to clean the mess so I had no choice but to do it. Now last time I checked I wasn't hired by the Encore to be a maid. All the towels & robes on the floor didnt soak up all the water. Next door to us there was a maid cleaning the room we asked her to come clean the wet floor when she was done with the room & she never came. Apparently, she didn't think it was her job either. They called a tech to fix it the leaky shower while we were in the room. Inconvience! My bro in law went looking for a maid on our floor & she said she'd come back later which she did. She said she'd check the shower after the tech to make sure it was fixed. All lies! The tech said the seal was broken that's why the water leaked everywhere. But, guess what? After he \""fixed\"" it, it still leaked the next day & I slipped again. \n\nThe hotel never offered to give us another room or comp us. The stay was dreadful. They didn't even seem to care or say sorry. Other then that the room service was awful. They don't follow direction & I got sick off the lobster eggs benedict. I won't even go into how sick. Then when I called to ask for an item it took them 3 1/2 hours to bring it up when they said it would be right up. I called 4 times & at one point they said it would be up in 15 minutes. And, of course it wasn't. 1 1/2 hours later it got there. I called to speak with a manager & they said no one was available opon checkout. No managers at a busy Vegas Hotel? I told the girl to have the manager call me. After days of not hearing anything I decided to blast them on twitter & a few ppl called me then. All I was offered was 1 night free stay. It was a total joke after my experience. So I didn't accept. Moral of the story these hotels are shady & honestly don't care even if you're hurt. Take pics & video of everything in these situations so they can't down play anything.","negative","restaurants"
"movies slow , dry , poorly cast , but beautifully shot .","neutral","movies"
"tweets Wifey & Princess are going up to Granda\u2019s for thanksgiving today. I go Sunday. I think I\u2019ll watch Goon!","positive","tweets"
"tweets You gonna do an article about this like you have with Kane after 4? @user","neutral","tweets"
"tweets David Wright played the full nine innings at 3B for St. Lucie today. He went 3-for-4 with a run scored. He is expected to return Monday.","neutral","tweets"
"movies some body is a shaky , uncertain film that nevertheless touches a few raw nerves .","positive","movies"
"tweets @user @user I may have missed that memo. (Also about time)","neutral","tweets"
"restaurants So where do I begin... 1 star was already generous.\n\nMy first time being here was not exactly the best experience a tourist could have. \n\nWe first arrive and was given room temperature tea on a cold day. Shortly after we placed our order and was very excited about the food. \n\n3 sets of customers come in, sat down and placed their orders. As I witness all these customers devouring their food, my boyfriend (who has a bad headache due to lack of food )and I continue to sit at the restaurant. \n\nAfter 40 minutes go by, I told this bitchy waitress that we have been waiting for a long time. To their response, they forgot and took our order again for the second time. As customer service, they provided us a free salad that looks like a dog has regurgitated out and just said sorry. \n\nWe waited and waited as we watch them eat their food and pretty much all customers have left at this point.\n\nIf you don't want to wait long, please do not come here. This is not how to serve customers or keep them!","negative","restaurants"
"tweets DON'T MISS THIS EXCITING SHOW! Rumourz, Tribute to Fleetwood Mac is coming to the Palace THIS SATURDAY at 7:30pm....","positive","tweets"
"tweets @user @user Guys who do u think will be the entrance revealed monday? I think monday Wil be randy Orton","neutral","tweets"
"restaurants Five Guys is a chain-franchise masquerading as a local burger joint. Their burgers are all right but overpriced and greasy","negative","restaurants"
"movies ... a visually seductive , unrepentantly trashy take on rice 's second installment of her vampire chronicles .","neutral","movies"
"restaurants If you want a lot of breakfast food, without even realizing you order a lot of breakfast food, then stop by Chompies. It was a saturday morning, and the place was packed, which reminded me of a bob evans after sunday church. \n\nWord of advice, don't read the whole menu. Have an idea of what you're craving before opening the menu, and go straight to that section. Omelet, sandwich, salad, whatever. Their menu is extensively dizzying and could give you a seizure if you stare too long at it.\n\nI simply ordered some strawberry pancakes and my fiance ordered an omelet with some home fries and toast. I got a huge stack that had 3 pancakes with whipped cream, strawberries and syrup. My fiance's order was equally as big. She also ordered a napolean for dessert (at 9 am?) and it was way too sweet and a little on the stale side. I would guess Chompies is not known for their dessert section.\n\nOverall, if you want good breakfast, and a lot of it at a reasonable price, then give this place a try.","neutral","restaurants"
"tweets World Bank to lend to Burma for the 1st time in 25 years - BBC News #Burma","neutral","tweets"
"tweets ""This Sunday John Cena is going to march in that ring, fucking destroy Seth Rollins and walk out with The WWE World Heavyweight championship""","neutral","tweets"
"tweets My new book -- Islam's Jesus NOW IN PAPER with a special discount until 1 May via","neutral","tweets"
"tweets Reading club dead. I see a trip to Barns &amp; Noble in the near future...as in tomorrow.","negative","tweets"
"restaurants My representative at the auto glass center, Dovid, was super helpful. We spent less than ten minutes talking on the phone and it was hassle free with my insurance company. He was able to accommodate my busy schedule and send his glass installer out to my vehicle when it was convenient to me. Dovid said that the installer would come by anytime between 12 and 3 and the guy came out at 12:00 on the dot. Kudos to the whole team on a job well done! I'm looking forward to seeing my movie!","positive","restaurants"
"tweets @user listed as star attraction for Aust-China event today. Rudd\u2019s office say he never committed\u002c PR in charge says he cancelled Friday.","negative","tweets"
"movies lazily directed by charles stone iii ... from a leaden script by matthew cirulnick and novelist thulani davis .","negative","movies"
"movies all movie long , city by the sea swings from one approach to the other , but in the end , it stays in formula -- which is a waste of de niro , mcdormand and the other good actors in the cast .","negative","movies"
"tweets So apparently I'm going to Brookie's Halloween party tomorrow....","neutral","tweets"
"tweets @user C'mon, that's so not witty. Women are harassed on the steet by police in Iran for not wearing hijab and it's not okay, period""","negative","tweets"
"tweets Muchoforex New Post - Utilities Stocks\u002c Including Kinder Morgan\u002c Making Big Moves on August 17.... Read it now at","neutral","tweets"
"restaurants A run of the mill Chinese food - so the USP is price and quantity! yes this is the best bargain in the neighborhood. The house special is the fly -lice (pun here) the fried rice comes mixed with pork, shrimp, chicken and egg and the quantity is huge..I dare myself to finish this in one-sitting and I always loose.\n\nThe plus side is the menu here offers a good variety of dishes - in fact, I can easily spend at least 5-6mins deciding what to order\nHeres my vote on things\n\na. Shrimp with Tofu and Pork sauce (very tasty - by good I mean tasty)\nb. Fried fish with broccoli (nice but not a very good companion with rice)\nc. Kung Pao chicken (not my style - won't have it again)\nd. Phad Thai (in between passable - good)\ne. Deep fried dumplings (good)\n\nService is cold - I usually prefer to take out. \nPrice includes tax (not sure if that has changed recently). \nDecor is not worth mentioning.\nNo Wifi","neutral","restaurants"
"tweets Anyone down to pregame before the Obama speech tomorrow @user @user @user","positive","tweets"
"movies the overall fabric is hypnotic , and mr. mattei fosters moments of spontaneous intimacy .","positive","movies"
"tweets Looking forward to the new Jersey Shore starting tonight. Has it started in Ireland yet?? What do tweeps think?? #jerseyshore","positive","tweets"
"tweets @user @user Ohh, I just checked his Facebook. It's suppose to release on the 3rd day of Eid.""","neutral","tweets"
"restaurants Went here on our 4th of July trip.  The food was good but not as good as back home (So Cal) ;-)  Wife had the BBQ Pork & Pate Banh Mi and I had the Grilled Chicken Banh Mi.  The sandwiches were pretty good, the meat were nicely flavored but it didn't have the crunchy outside.  The Spring Rolls were a flop because there was too much rice wrap and it was tough.  They were so springy on the outside that it reminded my five of those gel filled rubber stress tube things (and they were the most expensive things ordered).  To drink we had the an iced coffee and a thai iced tea.   They were both pretty good, but they put too much milk and made the drink kinda thick.\n\nWill definitely come back when we need out vietnamese fix in Vegas and also to try some of the pho.","neutral","restaurants"
"tweets CANT go to class tomorrow too stressed about big brother","negative","tweets"
"restaurants Yum!  The food was awesome and messy.  \n\nWe had crawfish,  boiled shrimp with 2 different seasonings, snow crab,  soft shell crab, fried shrimp, corn fritters, cajun fries and mozzarella sticks.  Everything was really good.  It was my first time trying crawfish and I was shocked at how good they were.  The shrimp was so good and really big.  \n\nWe will definitely be back!","positive","restaurants"
"tweets Best wishes to the new Mr &amp; Mrs Duke who were married at Lynnhurst Hotel on Friday - pictured with our Bentley...","positive","tweets"
"movies this is more a case of ` sacre bleu ! '","neutral","movies"
"tweets ""Sunday was """"National Ice Cream Day,"""" and today is """"National Junk Food Day.""""""""National Type 2 Diabetes Life,"""" is just around the corner, ppl""","negative","tweets"
"movies ... wise and elegiac ...","positive","movies"
"movies it is , however , a completely honest , open-hearted film that should appeal to anyone willing to succumb to it .","positive","movies"
"restaurants Okay, this place is pretty new but c'mon now, it took us forever to get our rooms. We went here for a bachelorette party weekend and we had 4 rooms on reserve. We tried to get all the rooms together, but they couldn't do it. boo. Okay, so we get there 10Am to check in early - our room isn't ready. Boo. They tell us to come back at 3. We come back at 3 - our room still isn't ready. Boo. The front desk guy finally finds a room, then tells us where it's located. But, wait! Nm...he got mixed up and so now our room isn't ready. wth??\n\nSo, he goes back to ask the manager. Now another room opens up but it's only on the 13th floor. We wanted something on the 25th floor or higher. Boo again. Finally we get a room!\n\nRooms are pretty small. Of course, they're are nice though...it's Vegas!! And who stays in there room all night anyways? Not a bunch of young ladies that's who!\n\nThe casino is a huge - and a bit confusing to get around. We stayed 3 nights and I still couldn't tell you how to get to the bathrooms. Everything looks the same and the casino is an odd shape. You feel like you're going in circles or something?? \n\nJean Philippe Patisserie is right around the corner from the elevators. Awwww.........HEAVEN! Loved the food & loved the pastries. We went here quite a bit too. Yummmy!\n\nOverall, the place is pretty great. They just need to work on getting those rooms cleaned. Hello! We ask for early check in and we don't get a room until 4. Their customer service and communication w/ staffing etc. needs to be corrected. C'mon now. We are in Vegas, we want to party, so hurry up with our rooms already.\n\nBell hops were very nice!","neutral","restaurants"
"tweets Chris Rene can win one more time before he has to retire with Rockin' With You.  Monday he goes up against Hunter...","positive","tweets"
"movies kiarostami has crafted a deceptively casual ode to children and managed to convey a tiny sense of hope .","positive","movies"
"tweets ""Ryan Braun's home run in the 6th puts gives the Brewers a 1-0 lead.  A.J. Pollock, Goldy, and David Peralta will look to answer.""","neutral","tweets"
"restaurants Love this place!!! Of course the girls are nice to look at...... But it dosent stop there.  All around great service,drinks and food. Always have a goodtime.Great food deals after 12am. Thanks girls.","positive","restaurants"
"tweets Dana White coming off as an asshole telling Holm's camp about immediate rematch in July &amp; she can't fight Tate. Selfish. What else is new.","negative","tweets"
"tweets @user people wholeheartedly believing satire about Sarah Palin is what got her the reputation she has in the 1st place.","negative","tweets"
"restaurants Since the day Zaytoon opened, I've been a regular customer. If I happened to be in the neighborhood I would stop there every time. Many times I'd driven across town specifically to go to the restaurant... it was that good.\nThere was one thing that separated them from all the rest... The bread. Much to my dismay, after driving across town one evening last week to have dinner, I was given their \""new\"" pita. When I asked where the regular bread was, I was told the new owners/manager didn't want to be bothered making that bread any longer. Here is a perfect example of shortsightedness. In order to not be bothered with what I guess is an extra step or two in making a superior product, the customer base will now begin to disappear. When I said to the girl that that was the main reason I come across town for their restaurant, she told me that many people were upset and complaining and said they would no longer be coming to the restaurant. I told her she could add me to that list. Their hummus recipe also appears to have changed. And not for the better. They are now simply a mediocre Mediterranean restaurant like all the others.","negative","restaurants"
"restaurants First let me say, dear RCP you lost 2 costumers over ONE DOLLER. \nHere is what happened the menu listed a bottle of water for $5, and our servers I-phone said it was $6. I mention it to the server and her response is; well that's what my phone says. So fast forward to getting the check and it 's still is $6 for the water. The server comes back over to take the check and I say, \""I guess you're not going to give us the price on the menu.\"" I got a blank stare and she took the check over to the bartender and hostess and proceeded to whisper about how to deal with us. As we got up we had to walk out right in front of them we got nothing, not a \""we're sorry for the confusion on the menu\"" or  \""thanks for coming\"" or \""goodnight\""... nothing.  On to the other problem, we had the Chicken Caprese Pizza. The ingredients are Chicken,cheese,tomatoes, fresh basil and balsamic. We got that and... warm mixed greens WTF? If I wanted a salad, I would have order it. I am not sure if they were subbing for the lack of basil or had extra mixed greens lying around, but they wound up on out pizza. Also, when the first ingredient is chicken and there are more mixed greens on the pizza than chicken, I feel mislead. There is really good pizza and good service in town and I don't think it's at RCP. There is one bright spot, the guy who was not our server with the tattoos. He was very nice and wrapped our salad-less pizza in foil so we did not have to take a big box home.","negative","restaurants"
"movies a backhanded ode to female camaraderie penned by a man who has little clue about either the nature of women or of friendship .","negative","movies"
"tweets ""I may congratulate you will not hear from town, but feeding and while Justin Bieber, let them pleasing.""","positive","tweets"
